year,site,num,tot,perc,stage,flow
2016,TNC_23,32,48,66.66666667,Before,92.70968
2016,TNC_25,27,47,57.44680851,Before,92.70968
2017,TNC_23,14,91,15.38461538,Before,225.65484
2017,TNC_25,6,91,6.593406593,Before,225.65484
2018,TNC_23,30,92,32.60869565,During,409.67742
2018,TNC_25,30,91,32.96703297,During,409.67742
2018,TNC_81,24,74,32.43243243,During,409.67742
2019,TNC_23,17,82,20.73170732,During,423.29032
2019,TNC_25,17,82,20.73170732,During,423.29032
2019,TNC_81,15,88,17.04545455,During,423.29032
2020,TNC_23,50,91,54.94505495,After,155.91613
2020,TNC_25,37,77,48.05194805,After,155.91613
2020,TNC_80,36,75,48,After,155.91613
2020,TNC_81,41,91,45.05494505,After,155.91613
2021,TNC_23,28,92,30.43478261,After,441.67742
2021,TNC_25,34,92,36.95652174,After,441.67742
2021,TNC_80,31,89,34.83146067,After,441.67742
2021,TNC_81,24,92,26.08695652,After,441.67742
2022,TNC_23,32,92,34.7826087,After,219.28387
2022,TNC_25,38,86,44.18604651,After,219.28387
2022,TNC_80,47,92,51.08695652,After,219.28387
2022,TNC_81,17,73,23.28767123,After,219.28387
2023,TNC_23,8,92,8.695652174,After,587.51613
2023,TNC_25,9,92,9.782608696,After,587.51613
2023,TNC_80,8,92,8.695652174,After,587.51613
2023,TNC_81,8,83,9.638554217,After,587.51613
2024,TNC_23,41,92,44.56521739,After,240.90323
2024,TNC_25,44,92,47.82608696,After,240.90323
2024,TNC_80,46,92,50,After,240.90323
2024,TNC_81,21,69,30.43478261,After,240.90323
