Site,Year,Copies
TNC_25,2022,970.88
TNC_25,2022,3773.14
TNC_25,2022,17043.05
TNC_25,2022,205.42
TNC_25,2022,7883.94
TNC_25,2022,11645.47
TNC_25,2022,10400.19
TNC_25,2022,2077.35
TNC_25,2022,5478.35
TNC_25,2022,1204.1
TNC_25,2022,2304.18
TNC_25,2022,5545.52
TNC_25,2022,1604.79
TNC_25,2022,1378.64
TNC_25,2022,169.44
TNC_23,2022,605.99
TNC_23,2022,1053.34
TNC_23,2022,1696.87
TNC_23,2022,191.57
TNC_23,2022,2284.83
TNC_23,2022,8163.39
TNC_23,2022,3502.66
TNC_23,2022,1916.6
TNC_23,2022,1921.08
TNC_23,2022,5165.34
TNC_23,2022,2440.99
TNC_23,2022,8684.94
TNC_23,2022,203.39
TNC_23,2022,352.73
TNC_23,2022,196.44
TNC_16,2022,166.27
TNC_16,2022,136.41
TNC_16,2022,454.86
TNC_16,2022,130.43
TNC_16,2022,402.64
TNC_16,2022,2736.8
TNC_16,2022,1942
TNC_16,2022,593.12
TNC_16,2022,830.2
TNC_16,2022,624.17
TNC_16,2022,1997.05
TNC_16,2022,706.87
TNC_16,2022,1955.14
TNC_16,2022,240.28
TNC_16,2022,0
TNC_89,2022,0
TNC_89,2022,304.05
TNC_89,2022,173.68
TNC_89,2022,0
TNC_89,2022,385.13
TNC_89,2022,1824.26
TNC_89,2022,508.66
TNC_89,2022,1128.44
TNC_89,2022,390.1
TNC_89,2022,483.27
TNC_89,2022,558.66
TNC_89,2022,374.18
TNC_89,2022,0
TNC_89,2022,0
TNC_89,2022,0
TNC_25,2023,6.33
TNC_25,2023,117
TNC_25,2023,202.67
TNC_25,2023,5783
TNC_25,2023,3115.33
TNC_25,2023,3838.67
TNC_25,2023,1117
TNC_25,2023,1388.67
TNC_25,2023,3786.33
TNC_25,2023,5278.33
TNC_25,2023,2310
TNC_25,2023,2847.33
TNC_25,2023,3780
TNC_25,2023,214
TNC_25,2023,0
TNC_25,2023,7.67
TNC_25,2023,0
TNC_23,2023,0
TNC_23,2023,0
TNC_23,2023,188
TNC_23,2023,1743.67
TNC_23,2023,518.67
TNC_23,2023,803.33
TNC_23,2023,642.33
TNC_23,2023,499
TNC_23,2023,1133.67
TNC_23,2023,1623.67
TNC_23,2023,885
TNC_23,2023,1993.33
TNC_23,2023,685.67
TNC_23,2023,232.67
TNC_23,2023,0
TNC_23,2023,0
TNC_23,2023,0
TNC_16,2023,0
TNC_16,2023,0
TNC_16,2023,42
TNC_16,2023,169.67
TNC_16,2023,94
TNC_16,2023,317
TNC_16,2023,185.67
TNC_16,2023,185.33
TNC_16,2023,440.67
TNC_16,2023,516
TNC_16,2023,324.67
TNC_16,2023,714
TNC_16,2023,329
TNC_16,2023,168
TNC_16,2023,0
TNC_16,2023,0
TNC_16,2023,0
TNC_89,2023,0
TNC_89,2023,0
TNC_89,2023,0
TNC_89,2023,98.67
TNC_89,2023,83.67
TNC_89,2023,96.33
TNC_89,2023,54
TNC_89,2023,226.33
TNC_89,2023,335.67
TNC_89,2023,244.67
TNC_89,2023,95.33
TNC_89,2023,179
TNC_89,2023,530.67
TNC_89,2023,0
TNC_89,2023,0
TNC_89,2023,0
TNC_89,2023,0
TNC_25,2024,23.49
TNC_25,2024,52.04
TNC_25,2024,887.91
TNC_25,2024,19912.14
TNC_25,2024,354.92
TNC_25,2024,2195.97
TNC_25,2024,6528.37
TNC_25,2024,2813.55
TNC_25,2024,2801.04
TNC_25,2024,2378.81
TNC_25,2024,3120.78
TNC_25,2024,7561.34
TNC_25,2024,1240.56
TNC_25,2024,1492.68
TNC_25,2024,472.63
TNC_25,2024,1544.22
TNC_25,2024,40.26
TNC_25,2024,17.1
TNC_23,2024,0
TNC_23,2024,27.28
TNC_23,2024,651.38
TNC_23,2024,535.51
TNC_23,2024,425.11
TNC_23,2024,1669.24
TNC_23,2024,1263.73
TNC_23,2024,1001.64
TNC_23,2024,1678.83
TNC_23,2024,1110.44
TNC_23,2024,852.11
TNC_23,2024,258.6
TNC_23,2024,187.46
TNC_23,2024,94.64
TNC_23,2024,181.14
TNC_23,2024,21.2
TNC_23,2024,10.34
TNC_23,2024,0
TNC_16,2024,0
TNC_16,2024,0
TNC_16,2024,48.12
TNC_16,2024,69.98
TNC_16,2024,93.94
TNC_16,2024,365.89
TNC_16,2024,231.16
TNC_16,2024,170.7
TNC_16,2024,237.49
TNC_16,2024,363.73
TNC_16,2024,2128.09
TNC_16,2024,108.25
TNC_16,2024,59.12
TNC_16,2024,0
TNC_16,2024,0
TNC_16,2024,0
TNC_16,2024,0
TNC_16,2024,0
TNC_89,2024,0
TNC_89,2024,0
TNC_89,2024,17.96
TNC_89,2024,45.1
TNC_89,2024,20.04
TNC_89,2024,78.62
TNC_89,2024,54.08
TNC_89,2024,61.68
TNC_89,2024,111.45
TNC_89,2024,116.72
TNC_89,2024,122.8
TNC_89,2024,223.47
TNC_89,2024,103.02
TNC_89,2024,60.44
TNC_89,2024,0
TNC_89,2024,0
TNC_89,2024,0
TNC_89,2024,0
