Year,Rounded,Prop,Site
2015,10,1.041666667,TNC_25
2015,11,5.208333333,TNC_25
2015,12,9.375,TNC_25
2015,13,14.58333333,TNC_25
2015,14,16.66666667,TNC_25
2015,15,7.291666667,TNC_25
2015,16,6.25,TNC_25
2015,17,6.25,TNC_25
2015,18,7.291666667,TNC_25
2015,19,2.083333333,TNC_25
2015,20,2.083333333,TNC_25
2015,22,4.166666667,TNC_25
2015,23,1.041666667,TNC_25
2015,24,1.041666667,TNC_25
2015,25,1.041666667,TNC_25
2015,26,1.041666667,TNC_25
2015,27,1.041666667,TNC_25
2015,28,1.041666667,TNC_25
2015,29,2.083333333,TNC_25
2015,31,1.041666667,TNC_25
2015,32,1.041666667,TNC_25
2015,33,1.041666667,TNC_25
2015,34,1.041666667,TNC_25
2015,35,1.041666667,TNC_25
2015,43,0,TNC_25
2015,44,0,TNC_25
2015,46,1.041666667,TNC_25
2015,10,0,TNC_23
2015,11,0,TNC_23
2015,12,0,TNC_23
2015,13,0,TNC_23
2015,14,0,TNC_23
2015,15,0,TNC_23
2015,16,0,TNC_23
2015,17,0,TNC_23
2015,18,0,TNC_23
2015,19,0,TNC_23
2015,20,0,TNC_23
2015,22,0,TNC_23
2015,23,0,TNC_23
2015,24,0,TNC_23
2015,25,0,TNC_23
2015,26,0,TNC_23
2015,27,0,TNC_23
2015,28,0,TNC_23
2015,29,0,TNC_23
2015,31,0,TNC_23
2015,32,0,TNC_23
2015,33,0,TNC_23
2015,34,0,TNC_23
2015,35,0,TNC_23
2015,43,0,TNC_23
2015,44,0,TNC_23
2015,46,0,TNC_23
2015,10,0,TNC_16
2015,11,0,TNC_16
2015,12,0,TNC_16
2015,13,0,TNC_16
2015,14,0,TNC_16
2015,15,0,TNC_16
2015,16,0,TNC_16
2015,17,0,TNC_16
2015,18,0,TNC_16
2015,19,0,TNC_16
2015,20,0,TNC_16
2015,22,0,TNC_16
2015,23,0,TNC_16
2015,24,0,TNC_16
2015,25,0,TNC_16
2015,26,0,TNC_16
2015,27,0,TNC_16
2015,28,0,TNC_16
2015,29,0,TNC_16
2015,31,0,TNC_16
2015,32,0,TNC_16
2015,33,0,TNC_16
2015,34,0,TNC_16
2015,35,1.041666667,TNC_16
2015,43,0,TNC_16
2015,44,1.041666667,TNC_16
2015,46,0,TNC_16
2015,10,0,TNC_19
2015,11,0,TNC_19
2015,12,0,TNC_19
2015,13,0,TNC_19
2015,14,0,TNC_19
2015,15,0,TNC_19
2015,16,0,TNC_19
2015,17,0,TNC_19
2015,18,0,TNC_19
2015,19,0,TNC_19
2015,20,0,TNC_19
2015,22,0,TNC_19
2015,23,0,TNC_19
2015,24,0,TNC_19
2015,25,0,TNC_19
2015,26,0,TNC_19
2015,27,0,TNC_19
2015,28,0,TNC_19
2015,29,0,TNC_19
2015,31,0,TNC_19
2015,32,0,TNC_19
2015,33,0,TNC_19
2015,34,0,TNC_19
2015,35,0,TNC_19
2015,43,1.041666667,TNC_19
2015,44,0,TNC_19
2015,46,0,TNC_19
2016,12,13.93442623,TNC_25
2016,13,18.03278689,TNC_25
2016,14,10.6557377,TNC_25
2016,15,9.016393443,TNC_25
2016,16,4.918032787,TNC_25
2016,17,5.737704918,TNC_25
2016,18,4.098360656,TNC_25
2016,19,2.459016393,TNC_25
2016,20,1.639344262,TNC_25
2016,21,2.459016393,TNC_25
2016,23,1.639344262,TNC_25
2016,24,0.819672131,TNC_25
2016,25,0,TNC_25
2016,27,1.639344262,TNC_25
2016,28,0,TNC_25
2016,30,3.278688525,TNC_25
2016,31,0.819672131,TNC_25
2016,32,0.819672131,TNC_25
2016,33,4.098360656,TNC_25
2016,35,0.819672131,TNC_25
2016,37,0.819672131,TNC_25
2016,39,0.819672131,TNC_25
2016,46,0.819672131,TNC_25
2016,50,0,TNC_25
2016,54,0,TNC_25
2016,12,0,TNC_23
2016,13,0,TNC_23
2016,14,0,TNC_23
2016,15,0,TNC_23
2016,16,0,TNC_23
2016,17,0,TNC_23
2016,18,0,TNC_23
2016,19,0,TNC_23
2016,20,0,TNC_23
2016,21,0,TNC_23
2016,23,0,TNC_23
2016,24,0,TNC_23
2016,25,0,TNC_23
2016,27,0,TNC_23
2016,28,0,TNC_23
2016,30,0,TNC_23
2016,31,0,TNC_23
2016,32,0,TNC_23
2016,33,0,TNC_23
2016,35,0,TNC_23
2016,37,0,TNC_23
2016,39,0,TNC_23
2016,46,0,TNC_23
2016,50,0.819672131,TNC_23
2016,54,0.819672131,TNC_23
