year,site,dif,flow,sterr_flow,ul_flow,ll_flow
2016,TNC_23,2.51,92.70968,5.889125,98.598805,86.820555
2016,TNC_25,3.08,92.70968,5.889125,98.598805,86.820555
2017,TNC_23,3.67,225.65484,19.243298,244.898138,206.411542
2017,TNC_25,3.9,225.65484,19.243298,244.898138,206.411542
2018,TNC_23,4.31,409.67742,48.686453,458.363873,360.990967
2018,TNC_25,4.2,409.67742,48.686453,458.363873,360.990967
2018,TNC_81,1.35,409.67742,48.686453,458.363873,360.990967
2019,TNC_23,4.75,423.29032,44.43062,467.72094,378.8597
2019,TNC_25,4.77,423.29032,44.43062,467.72094,378.8597
2019,TNC_81,5.14,423.29032,44.43062,467.72094,378.8597
2020,TNC_23,4.02,155.91613,24.076573,179.992703,131.839557
2020,TNC_25,3.82,155.91613,24.076573,179.992703,131.839557
2020,TNC_80,4.67,155.91613,24.076573,179.992703,131.839557
2020,TNC_81,4.21,155.91613,24.076573,179.992703,131.839557
2021,TNC_23,4.93,441.67742,82.562044,524.239464,359.115376
2021,TNC_25,4.79,441.67742,82.562044,524.239464,359.115376
2021,TNC_80,4.81,441.67742,82.562044,524.239464,359.115376
2021,TNC_81,5.18,441.67742,82.562044,524.239464,359.115376
2022,TNC_23,6.3,219.28387,19.106139,238.390009,200.177731
2022,TNC_25,5.99,219.28387,19.106139,238.390009,200.177731
2022,TNC_80,5.85,219.28387,19.106139,238.390009,200.177731
2022,TNC_81,6.5,219.28387,19.106139,238.390009,200.177731
2023,TNC_23,6.22,587.51613,72.878377,660.394507,514.637753
2023,TNC_25,6.07,587.51613,72.878377,660.394507,514.637753
2023,TNC_80,6.13,587.51613,72.878377,660.394507,514.637753
2023,TNC_81,6.4,587.51613,72.878377,660.394507,514.637753
2024,TNC_23,3.96,240.90323,28.73544,269.63867,212.16779
2024,TNC_25,3.8,240.90323,28.73544,269.63867,212.16779
2024,TNC_80,3.78,240.90323,28.73544,269.63867,212.16779
2024,TNC_81,4.92,240.90323,28.73544,269.63867,212.16779
