site,year,avg_temp,avg_do,sterr_temp,sterr_do,temp_v_air,air
TNC_23,2016,25.95680837,8.401897803,0.225552901,0.178484463,2.51,28.47
TNC_23,2017,23.08472533,7.811818188,0.223653179,0.067579344,3.67,26.75
TNC_23,2018,23.78760866,7.894709,0.224396748,0.09406213,4.31,28.1
TNC_23,2019,23.2664633,8.019459456,0.240416832,0.069384684,4.75,28.02
TNC_23,2020,25.18844447,6.285353536,0.19681845,0.088229488,4.02,29.2
TNC_23,2021,23.99478263,7.480797537,0.233318646,0.064830482,4.93,28.93
TNC_23,2022,24.15206522,7.114634133,0.246843163,0.091248485,6.3,30.46
TNC_23,2023,22.78304348,6.851102941,0.1901628,0.089084161,6.22,29
TNC_23,2024,24.79597826,7.037324841,0.248684117,0.070502465,3.96,28.76
TNC_25,2016,25.38489354,8.791076888,0.207107937,0.16097064,3.08,28.47
TNC_25,2017,22.85043953,8.379870152,0.221975143,0.063179756,3.9,26.75
TNC_25,2018,23.90307684,8.770490212,0.235458281,0.102846095,4.2,28.1
TNC_25,2019,23.24975609,7.962191802,0.244851295,0.101874428,4.77,28.02
TNC_25,2020,25.38755556,5.955294121,0.230389905,0.169745862,3.82,29.2
TNC_25,2021,24.13271738,7.20068027,0.237990476,0.103633983,4.79,28.93
TNC_25,2022,24.46478266,7.191455687,0.261303853,0.090393392,5.99,30.46
TNC_25,2023,22.93782609,7.399270073,0.187948465,0.059773854,6.07,29
TNC_25,2024,24.96173913,6.834140127,0.257260393,0.091741594,3.8,28.76
TNC_80,2020,25.42588896,4.582467546,0.228367974,0.249044391,4.67,29.2
TNC_80,2021,24.11021739,6.266470588,0.241010275,0.180996089,4.81,28.93
TNC_80,2022,24.60456522,7.281317365,0.273275176,0.113617211,5.85,30.46
TNC_80,2023,22.87413043,7.23832,0.186479835,0.148618834,6.13,29
TNC_80,2024,24.98543478,7.074012739,0.263647665,0.083904779,3.78,28.76
TNC_81,2018,23.81847826,8.295078534,0.214736193,0.130591673,1.35,28.1
TNC_81,2019,22.87554354,7.564975126,0.232974102,0.116964831,5.14,28.02
TNC_81,2020,24.99933339,6.535757574,0.200935552,0.077801434,4.21,29.2
TNC_81,2021,23.74347826,7.15775,0.228729767,0.104416692,5.18,28.93
TNC_81,2022,23.94826087,7.311418919,0.245331986,0.120246155,6.5,30.46
TNC_81,2023,22.60282609,7.652380952,0.186664483,0.084007969,6.4,29
TNC_81,2024,23.84492754,7.310074627,0.271901644,0.071732609,4.92,28.76
