Year,Station,FTL,Stage
2015,TNC_25,10.4,Pre
2015,TNC_25,10.5,Pre
2015,TNC_25,10.7,Pre
2015,TNC_25,10.8,Pre
2015,TNC_25,11.2,Pre
2015,TNC_25,11.2,Pre
2015,TNC_25,11.5,Pre
2015,TNC_25,11.5,Pre
2015,TNC_25,11.5,Pre
2015,TNC_25,11.7,Pre
2015,TNC_25,11.8,Pre
2015,TNC_25,12.2,Pre
2015,TNC_25,12.3,Pre
2015,TNC_25,12.4,Pre
2015,TNC_25,12.4,Pre
2015,TNC_25,12.5,Pre
2015,TNC_25,12.6,Pre
2015,TNC_25,12.7,Pre
2015,TNC_25,12.7,Pre
2015,TNC_25,12.7,Pre
2015,TNC_25,12.8,Pre
2015,TNC_25,12.8,Pre
2015,TNC_25,12.9,Pre
2015,TNC_25,13,Pre
2015,TNC_25,13.1,Pre
2015,TNC_25,13.1,Pre
2015,TNC_25,13.3,Pre
2015,TNC_25,13.4,Pre
2015,TNC_25,13.4,Pre
2015,TNC_25,13.5,Pre
2015,TNC_25,13.6,Pre
2015,TNC_25,13.7,Pre
2015,TNC_25,13.7,Pre
2015,TNC_25,13.7,Pre
2015,TNC_25,13.8,Pre
2015,TNC_25,13.8,Pre
2015,TNC_25,13.9,Pre
2015,TNC_25,14,Pre
2015,TNC_25,14,Pre
2015,TNC_25,14.1,Pre
2015,TNC_25,14.1,Pre
2015,TNC_25,14.4,Pre
2015,TNC_25,14.4,Pre
2015,TNC_25,14.4,Pre
2015,TNC_25,14.4,Pre
2015,TNC_25,14.6,Pre
2015,TNC_25,14.7,Pre
2015,TNC_25,14.9,Pre
2015,TNC_25,15.1,Pre
2015,TNC_25,15.2,Pre
2015,TNC_25,15.2,Pre
2015,TNC_25,15.4,Pre
2015,TNC_25,15.5,Pre
2015,TNC_25,15.5,Pre
2015,TNC_25,15.6,Pre
2015,TNC_25,15.6,Pre
2015,TNC_25,15.8,Pre
2015,TNC_25,15.9,Pre
2015,TNC_25,16.5,Pre
2015,TNC_25,16.8,Pre
2015,TNC_25,17.1,Pre
2015,TNC_25,17.1,Pre
2015,TNC_25,17.3,Pre
2015,TNC_25,17.4,Pre
2015,TNC_25,17.5,Pre
2015,TNC_25,17.5,Pre
2015,TNC_25,17.9,Pre
2015,TNC_25,18,Pre
2015,TNC_25,18,Pre
2015,TNC_25,18.3,Pre
2015,TNC_25,18.3,Pre
2015,TNC_25,18.8,Pre
2015,TNC_25,18.9,Pre
2015,TNC_25,19.6,Pre
2015,TNC_25,20.2,Pre
2015,TNC_25,21.7,Pre
2015,TNC_25,21.7,Pre
2015,TNC_25,22.2,Pre
2015,TNC_25,22.4,Pre
2015,TNC_25,22.7,Pre
2015,TNC_25,24.1,Pre
2015,TNC_25,25.3,Pre
2015,TNC_25,25.8,Pre
2015,TNC_25,27.3,Pre
2015,TNC_25,28.4,Pre
2015,TNC_25,28.5,Pre
2015,TNC_25,28.9,Pre
2015,TNC_25,30.6,Pre
2015,TNC_25,31.9,Pre
2015,TNC_25,33.2,Pre
2015,TNC_25,34.4,Pre
2015,TNC_25,34.8,Pre
2015,TNC_25,46,Pre
2016,TNC_25,11.5,Pre
2016,TNC_25,11.5,Pre
2016,TNC_25,11.6,Pre
2016,TNC_25,11.6,Pre
2016,TNC_25,11.7,Pre
2016,TNC_25,11.7,Pre
2016,TNC_25,11.9,Pre
2016,TNC_25,12,Pre
2016,TNC_25,12,Pre
2016,TNC_25,12,Pre
2016,TNC_25,12.1,Pre
2016,TNC_25,12.1,Pre
2016,TNC_25,12.1,Pre
2016,TNC_25,12.2,Pre
2016,TNC_25,12.2,Pre
2016,TNC_25,12.3,Pre
2016,TNC_25,12.3,Pre
2016,TNC_25,12.5,Pre
2016,TNC_25,12.5,Pre
2016,TNC_25,12.5,Pre
2016,TNC_25,12.5,Pre
2016,TNC_25,12.6,Pre
2016,TNC_25,12.6,Pre
2016,TNC_25,12.6,Pre
2016,TNC_25,12.6,Pre
2016,TNC_25,12.7,Pre
2016,TNC_25,12.7,Pre
2016,TNC_25,12.8,Pre
2016,TNC_25,12.9,Pre
2016,TNC_25,13,Pre
2016,TNC_25,13.1,Pre
2016,TNC_25,13.1,Pre
2016,TNC_25,13.1,Pre
2016,TNC_25,13.2,Pre
2016,TNC_25,13.2,Pre
2016,TNC_25,13.3,Pre
2016,TNC_25,13.3,Pre
2016,TNC_25,13.4,Pre
2016,TNC_25,13.4,Pre
2016,TNC_25,13.5,Pre
2016,TNC_25,13.5,Pre
2016,TNC_25,13.7,Pre
2016,TNC_25,13.8,Pre
2016,TNC_25,13.9,Pre
2016,TNC_25,14,Pre
2016,TNC_25,14.2,Pre
2016,TNC_25,14.2,Pre
2016,TNC_25,14.3,Pre
2016,TNC_25,14.3,Pre
2016,TNC_25,14.4,Pre
2016,TNC_25,14.4,Pre
2016,TNC_25,14.4,Pre
2016,TNC_25,14.5,Pre
2016,TNC_25,14.5,Pre
2016,TNC_25,14.6,Pre
2016,TNC_25,14.7,Pre
2016,TNC_25,14.9,Pre
2016,TNC_25,15.1,Pre
2016,TNC_25,15.1,Pre
2016,TNC_25,15.2,Pre
2016,TNC_25,15.4,Pre
2016,TNC_25,15.4,Pre
2016,TNC_25,15.4,Pre
2016,TNC_25,15.5,Pre
2016,TNC_25,15.7,Pre
2016,TNC_25,15.9,Pre
2016,TNC_25,16,Pre
2016,TNC_25,16,Pre
2016,TNC_25,16.4,Pre
2016,TNC_25,16.5,Pre
2016,TNC_25,16.5,Pre
2016,TNC_25,16.8,Pre
2016,TNC_25,17,Pre
2016,TNC_25,17,Pre
2016,TNC_25,17.1,Pre
2016,TNC_25,17.2,Pre
2016,TNC_25,17.6,Pre
2016,TNC_25,17.8,Pre
2016,TNC_25,17.9,Pre
2016,TNC_25,18,Pre
2016,TNC_25,18,Pre
2016,TNC_25,18.7,Pre
2016,TNC_25,18.7,Pre
2016,TNC_25,18.9,Pre
2016,TNC_25,19.5,Pre
2016,TNC_25,20.2,Pre
2016,TNC_25,21.2,Pre
2016,TNC_25,21.2,Pre
2016,TNC_25,21.3,Pre
2016,TNC_25,23.2,Pre
2016,TNC_25,23.4,Pre
2016,TNC_25,23.6,Pre
2016,TNC_25,27,Pre
2016,TNC_25,27.1,Pre
2016,TNC_25,29.5,Pre
2016,TNC_25,29.8,Pre
2016,TNC_25,29.9,Pre
2016,TNC_25,30.3,Pre
2016,TNC_25,31.1,Pre
2016,TNC_25,32.3,Pre
2016,TNC_25,32.5,Pre
2016,TNC_25,32.6,Pre
2016,TNC_25,32.7,Pre
2016,TNC_25,33.1,Pre
2016,TNC_25,33.3,Pre
2016,TNC_25,34.8,Pre
2016,TNC_25,37.1,Pre
2016,TNC_25,39.2,Pre
2016,TNC_25,46.2,Pre
2017,TNC_25,10.9,Pre
2017,TNC_25,11.6,Pre
2017,TNC_25,12,Pre
2017,TNC_25,12,Pre
2017,TNC_25,12,Pre
2017,TNC_25,12.1,Pre
2017,TNC_25,12.1,Pre
2017,TNC_25,12.1,Pre
2017,TNC_25,12.3,Pre
2017,TNC_25,12.6,Pre
2017,TNC_25,12.6,Pre
2017,TNC_25,12.6,Pre
2017,TNC_25,12.6,Pre
2017,TNC_25,12.8,Pre
2017,TNC_25,13,Pre
2017,TNC_25,13,Pre
2017,TNC_25,13.1,Pre
2017,TNC_25,13.1,Pre
2017,TNC_25,13.2,Pre
2017,TNC_25,13.2,Pre
2017,TNC_25,13.3,Pre
2017,TNC_25,13.3,Pre
2017,TNC_25,13.3,Pre
2017,TNC_25,13.4,Pre
2017,TNC_25,13.5,Pre
2017,TNC_25,13.6,Pre
2017,TNC_25,13.6,Pre
2017,TNC_25,13.6,Pre
2017,TNC_25,13.6,Pre
2017,TNC_25,13.7,Pre
2017,TNC_25,13.7,Pre
2017,TNC_25,13.7,Pre
2017,TNC_25,13.8,Pre
2017,TNC_25,13.9,Pre
2017,TNC_25,13.9,Pre
2017,TNC_25,14,Pre
2017,TNC_25,14.1,Pre
2017,TNC_25,14.2,Pre
2017,TNC_25,14.2,Pre
2017,TNC_25,14.4,Pre
2017,TNC_25,14.4,Pre
2017,TNC_25,14.5,Pre
2017,TNC_25,14.5,Pre
2017,TNC_25,14.6,Pre
2017,TNC_25,14.6,Pre
2017,TNC_25,14.6,Pre
2017,TNC_25,14.7,Pre
2017,TNC_25,14.7,Pre
2017,TNC_25,14.7,Pre
2017,TNC_25,14.8,Pre
2017,TNC_25,14.8,Pre
2017,TNC_25,15,Pre
2017,TNC_25,15.1,Pre
2017,TNC_25,15.1,Pre
2017,TNC_25,15.1,Pre
2017,TNC_25,15.1,Pre
2017,TNC_25,15.2,Pre
2017,TNC_25,15.4,Pre
2017,TNC_25,15.4,Pre
2017,TNC_25,15.5,Pre
2017,TNC_25,15.8,Pre
2017,TNC_25,15.8,Pre
2017,TNC_25,15.8,Pre
2017,TNC_25,16,Pre
2017,TNC_25,16,Pre
2017,TNC_25,16.1,Pre
2017,TNC_25,16.2,Pre
2017,TNC_25,16.8,Pre
2017,TNC_25,16.8,Pre
2017,TNC_25,17,Pre
2017,TNC_25,17,Pre
2017,TNC_25,17.5,Pre
2017,TNC_25,17.7,Pre
2017,TNC_25,17.7,Pre
2017,TNC_25,18.6,Pre
2017,TNC_25,19.5,Pre
2017,TNC_25,19.9,Pre
2017,TNC_25,23.7,Pre
2017,TNC_25,25.9,Pre
2017,TNC_25,28,Pre
2017,TNC_25,28.3,Pre
2017,TNC_25,28.6,Pre
2017,TNC_25,29.2,Pre
2017,TNC_25,30.5,Pre
2017,TNC_25,31.1,Pre
2017,TNC_25,32.5,Pre
2017,TNC_25,33.2,Pre
2017,TNC_25,33.6,Pre
2017,TNC_25,34.2,Pre
2017,TNC_25,42.8,Pre
2017,TNC_25,43.9,Pre
2018,TNC_25,11,Pre
2018,TNC_25,11,Pre
2018,TNC_25,11.6,Pre
2018,TNC_25,11.8,Pre
2018,TNC_25,11.8,Pre
2018,TNC_25,12.7,Pre
2018,TNC_25,12.9,Pre
2018,TNC_25,13,Pre
2018,TNC_25,13,Pre
2018,TNC_25,13.1,Pre
2018,TNC_25,13.3,Pre
2018,TNC_25,13.3,Pre
2018,TNC_25,13.5,Pre
2018,TNC_25,13.5,Pre
2018,TNC_25,13.6,Pre
2018,TNC_25,13.6,Pre
2018,TNC_25,13.8,Pre
2018,TNC_25,13.9,Pre
2018,TNC_25,13.9,Pre
2018,TNC_25,14.1,Pre
2018,TNC_25,14.2,Pre
2018,TNC_25,14.2,Pre
2018,TNC_25,14.2,Pre
2018,TNC_25,14.6,Pre
2018,TNC_25,14.7,Pre
2018,TNC_25,14.7,Pre
2018,TNC_25,14.8,Pre
2018,TNC_25,15.1,Pre
2018,TNC_25,15.2,Pre
2018,TNC_25,15.6,Pre
2018,TNC_25,15.8,Pre
2018,TNC_25,15.8,Pre
2018,TNC_25,15.9,Pre
2018,TNC_25,16,Pre
2018,TNC_25,16.4,Pre
2018,TNC_25,16.4,Pre
2018,TNC_25,16.6,Pre
2018,TNC_25,16.8,Pre
2018,TNC_25,16.9,Pre
2018,TNC_25,16.9,Pre
2018,TNC_25,17.5,Pre
2018,TNC_25,17.8,Pre
2018,TNC_25,17.9,Pre
2018,TNC_25,18,Pre
2018,TNC_25,18.5,Pre
2018,TNC_25,19,Pre
2018,TNC_25,19.2,Pre
2018,TNC_25,19.3,Pre
2018,TNC_25,19.4,Pre
2018,TNC_25,19.6,Pre
2018,TNC_25,19.6,Pre
